sector,USA_gdp_high,USA_gdp_unit,CHN_gdp_high,CHN_gdp_unit,USA_va_high,USA_va_unit,CHN_va_high,CHN_va_unit
Textiles,-0.0285324740751805,-0.029116123448842,-0.0562328098671906,-0.0432257722296233,3.1920321390783277,0.6672705911311616,-0.7441839512457916,-0.4559901622163008
Electronics,-0.0094759892249553,-0.0190193921970013,-0.0494840881647808,-0.0349018212127625,2.180524848810967,0.6618006651837547,-1.17217701839738,-0.6578235498887597
Other Manufacturing,-0.0068634745546941,-0.0148041083677473,-0.0394694428793652,-0.0268534198714193,1.4364578661372405,0.3001956646341938,-1.7960940152450795,-0.9636621739167944
